表示カテゴリ,商品名,会計区分,価格,原価
グラス,ハイボール,ドリンク,800,150
グラス,ウーロンハイ,ドリンク,800,120
グラス,レモンサワー,ドリンク,800,130
グラス,生ビール,ドリンク,900,250
グラス,カシスオレンジ,ドリンク,900,180
グラス,ジントニック,ドリンク,900,170
グラス,梅酒ロック,ドリンク,900,190
キャストドリンク,キャストドリンク,ドリンク,1500,300
キャストドリンク,キャストシャンパン,シャンパン,3000,600
割りもの,ウーロン茶,ドリンク,500,60
割りもの,緑茶,ドリンク,500,60
割りもの,炭酸水,ドリンク,500,50
割りもの,オレンジジュース,ドリンク,600,90
ボトル（焼酎）,黒霧島,ボトル,12000,2400
ボトル（焼酎）,茜霧島,ボトル,15000,3200
ボトル（焼酎）,魔王,ボトル,30000,7000
ボトル（焼酎）,森伊蔵,ボトル,40000,9000
ボトル（ウイスキー）,角瓶,ボトル,12000,2500
ボトル（ウイスキー）,知多,ボトル,20000,4500
ボトル（ウイスキー）,白州NV,ボトル,35000,8000
ボトル（ウイスキー）,山崎NV,ボトル,40000,9500
ボトル（ブランデー）,ヘネシーVS,ボトル,30000,7000
ボトル（ブランデー）,ヘネシーXO,ボトル,80000,20000
ボトル（ブランデー）,レミーマルタンVSOP,ボトル,40000,9500
シャンパン,モエ,シャンパン,30000,7000
シャンパン,ヴーヴクリコ イエロー,シャンパン,40000,9000
シャンパン,ドンペリ白,シャンパン,80000,20000
シャンパン,ドンペリロゼ,シャンパン,150000,38000
シャンパン,アルマンド ゴールド,シャンパン,250000,60000
フード,ミックスナッツ,ドリンク,800,200
フード,チョコレート盛り,ドリンク,1000,250
フード,フルーツ盛り,ドリンク,3000,900
セット・チャージ,セット料金,ドリンク,5000,0
セット・チャージ,指名料,ドリンク,3000,0
